"Protein","In_Significant"
"ABL1",FALSE
"CCL2",FALSE
"CCL20",FALSE
"CCL5",FALSE
"CCL8",FALSE
"CCNE1",FALSE
"CDKN1A",FALSE
"CDKN2D",FALSE
"CHEK2",FALSE
"COL1A1",FALSE
"COL3A1",FALSE
"CREG1",FALSE
"CXCL1",FALSE
"CXCL5",FALSE
"CXCL8",FALSE
"FGF2",FALSE
"FGF7",FALSE
"FN1",FALSE
"GLB1",FALSE
"HRAS",FALSE
"IFNG",FALSE
"IGF1R",FALSE
"IGFBP2",FALSE
"IGFBP3",FALSE
"IGFBP4",TRUE
"IGFBP7",TRUE
"IL11",FALSE
"IL1A",FALSE
"IL1B",FALSE
"IL6",TRUE
"ING1",FALSE
"LMNB1",FALSE
"MAP2K1",FALSE
"MAP2K6",FALSE
"MMP1",FALSE
"MMP10",FALSE
"MMP12",TRUE
"MMP3",FALSE
"MORC3",FALSE
"NBN",FALSE
"NFKB1",FALSE
"PCNA",FALSE
"PLAU",FALSE
"PLAUR",TRUE
"PTEN",FALSE
"SATB1",FALSE
"SERPINE1",FALSE
"SIRT1",FALSE
"SOD1",FALSE
"SOD2",FALSE
"SPARC",FALSE
"TGFB1",TRUE
"TIMP1",TRUE
"TIMP2",FALSE
"TNF",FALSE
"TP53",FALSE
"TP53BP1",FALSE
"VEGFA",TRUE
"VEGFB",TRUE
"VIM",FALSE
